,ResNet18,ResNet34,ResNet50,ResNet101,ResNet152,ResNeXt50,ResNeXt101,Wide_ResNet50,Wide_ResNet101,DenseNet121,DenseNet161,DenseNet169,DenseNet201,VGG11,VGG13,VGG16,VGG19
1,0.5249234196602618,0.5499860763018658,0.5636313004734057,0.5800612642717906,0.5469228627123364,0.49150654413812306,0.6170983013088276,0.5739348370927319,0.5953773322194374,0.580896686159844,0.5925925925925926,0.5388471177944862,0.5853522695627958,0.5636313004734057,0.543859649122807,0.5742133110554163,0.5733778891673629
2,0.6084656084656085,0.6051239209133946,0.6221108326371484,0.6285157337788917,0.6265664160401002,0.6193260930103035,0.6271233639654692,0.621275410749095,0.6040100250626567,0.6062378167641326,0.5898078529657477,0.621275410749095,0.6246170983013088,0.6031746031746031,0.6045669729880256,0.5989974937343359,0.5953773322194374
3,0.6045669729880256,0.6123642439431913,0.6140350877192983,0.6079086605402395,0.6368699526594264,0.644667223614592,0.6435533277638541,0.6402116402116402,0.5875800612642718,0.6151489835700362,0.6287942077415761,0.596212754107491,0.6418824839877472,0.6012252854358118,0.6079086605402395,0.6037315510999721,0.6182121971595655
4,0.6262879420774158,0.6449456975772765,0.6209969367864104,0.647451963241437,0.6499582289055973,0.6293511556669451,0.6441102756892231,0.6460595934280144,0.6521860206070732,0.6351991088833194,0.6351991088833194,0.6407685881370092,0.6466165413533834,0.6221108326371484,0.6157059314954052,0.6371484266221108,0.6257309941520468
5,0.6290726817042607,0.646338067390699,0.6318574213311056,0.6538568643831801,0.6438318017265385,0.6624895572263994,0.6694514062935115,0.6268448900027848,0.6204399888610415,0.632692843219159,0.6580339738234475,0.6379838485101643,0.6485658590921749,0.621832358674464,0.6243386243386243,0.6488443330548593,0.5984405458089669
6,0.6282372598162071,0.6349206349206349,0.6346421609579505,0.6482873851294904,0.6516290726817042,0.6455026455026455,0.6669451406293512,0.6530214424951267,0.6335282651072125,0.6223893065998329,0.6563631300473406,0.6597048175995545,0.6532999164578112,0.6129211918685603,0.6151489835700362,0.6338067390698969,0.6477304372041214
7,0.6485658590921749,0.6418824839877472,0.6363130047340574,0.6716791979949874,0.6686159844054581,0.6675020885547202,0.644667223614592,0.6516290726817042,0.671957671957672,0.6471734892787524,0.6549707602339181,0.6418824839877472,0.6602617655249234,0.6299081035923141,0.6129211918685603,0.6279587858535227,0.6432748538011696
8,0.6602617655249234,0.6502367028682818,0.6700083542188805,0.6772486772486772,0.6624895572263994,0.6349206349206349,0.6482873851294904,0.645224171539961,0.6764132553606238,0.6608187134502924,0.6847674742411585,0.657198551935394,0.6513505987190198,0.6418824839877472,0.6597048175995545,0.6627680311890838,0.645224171539961
9,0.6491228070175439,0.6850459482038429,0.6569200779727096,0.6691729323308271,0.6669451406293512,0.6705653021442495,0.6864383180172654,0.6736285157337789,0.670843776106934,0.6691729323308271,0.6886661097187413,0.6396546922862713,0.6764132553606238,0.6574770258980785,0.6624895572263994,0.6663881927039822,0.6677805625174046
10,0.6766917293233082,0.6652742968532442,0.6778056251740462,0.6830966304650515,0.6858813700918964,0.6778056251740462,0.6934001670843776,0.6789195210247841,0.6895015316067947,0.6271233639654692,0.6836535783904205,0.6850459482038429,0.6805903648008911,0.6488443330548593,0.6443887496519075,0.6683375104427736,0.670843776106934
